Phrase,Type,Populist_Count,Mainstream_Count,Ratio
they re going,Populist_Distinctive,27,0,27.0
going to do,Populist_Distinctive,23,0,23.0
re not going,Populist_Distinctive,21,0,21.0
the brexit party,Populist_Distinctive,21,0,21.0
think of it,Populist_Distinctive,19,0,19.0
have people that,Populist_Distinctive,18,0,18.0
over the place,Populist_Distinctive,17,0,17.0
but they re,Populist_Distinctive,16,0,16.0
we have people,Populist_Distinctive,16,0,16.0
we re gonna,Populist_Distinctive,16,0,16.0
have to do,Populist_Distinctive,16,0,16.0
and they re,Populist_Distinctive,30,1,15.0
don have to,Populist_Distinctive,15,0,15.0
ladies and gentlemen,Populist_Distinctive,15,0,15.0
going to take,Populist_Distinctive,14,0,14.0
they ll be,Populist_Distinctive,14,0,14.0
you look at,Populist_Distinctive,28,1,14.0
they have to,Populist_Distinctive,14,0,14.0
over the course,Populist_Distinctive,14,0,14.0
all the time,Populist_Distinctive,13,0,13.0
don know what,Populist_Distinctive,13,0,13.0
they re doing,Populist_Distinctive,13,0,13.0
the other day,Populist_Distinctive,13,0,13.0
you don have,Populist_Distinctive,13,0,13.0
have to get,Populist_Distinctive,13,0,13.0
you know they,Populist_Distinctive,13,0,13.0
ll tell you,Populist_Distinctive,13,0,13.0
they re coming,Populist_Distinctive,13,0,13.0
all over the,Populist_Distinctive,36,2,12.0
bring back our,Populist_Distinctive,12,0,12.0
land of opportunity,Mainstream_Distinctive,0,26,26.0
finish the job,Mainstream_Distinctive,0,23,23.0
we ve started,Mainstream_Distinctive,0,20,20.0
our children and,Mainstream_Distinctive,0,13,13.0
friends and allies,Mainstream_Distinctive,0,13,13.0
we will give,Mainstream_Distinctive,0,12,12.0
works for everyone,Mainstream_Distinctive,0,11,11.0
our economy and,Mainstream_Distinctive,0,9,9.0
that why we,Mainstream_Distinctive,1,18,9.0
our economy is,Mainstream_Distinctive,0,8,8.0
the cold war,Mainstream_Distinctive,0,8,8.0
north and south,Mainstream_Distinctive,0,8,8.0
today want to,Mainstream_Distinctive,0,8,8.0
finishing the job,Mainstream_Distinctive,0,8,8.0
reasons to finish,Mainstream_Distinctive,0,8,8.0
am confident that,Mainstream_Distinctive,0,8,8.0
our friends and,Mainstream_Distinctive,1,15,7.5
we have done,Mainstream_Distinctive,0,7,7.0
it won be,Mainstream_Distinctive,0,7,7.0
if we want,Mainstream_Distinctive,0,7,7.0
donald trump will,Mainstream_Distinctive,0,7,7.0
of hardworking people,Mainstream_Distinctive,0,7,7.0
want to know,Mainstream_Distinctive,0,7,7.0
cost of living,Mainstream_Distinctive,0,7,7.0
we ve made,Mainstream_Distinctive,0,7,7.0
as prime minister,Mainstream_Distinctive,0,7,7.0
why we will,Mainstream_Distinctive,0,7,7.0
working class people,Mainstream_Distinctive,0,7,7.0
everyone plays by,Mainstream_Distinctive,0,7,7.0
change has got,Mainstream_Distinctive,0,7,7.0
